#! FIELDS time phi psi metad.bias
#! SET min_phi -pi
#! SET max_phi pi
#! SET min_psi -pi
#! SET max_psi pi
 105.400000 1.164277 3.074580 1.793150
 105.600000 1.018786 -2.644001 7.210519
 105.800000 1.137181 -2.143250 13.242323
 106.000000 0.386056 -1.084922 12.948400
 106.200000 1.103815 -0.363887 23.053565
 106.400000 0.937673 0.137005 17.990328
 106.600000 0.622282 0.974501 2.818988
 106.800000 0.741206 0.668581 8.269978
 107.000000 0.964182 -0.480927 23.791329
 107.200000 0.780765 -1.221359 22.493626
 107.400000 1.078669 -1.785869 16.825521
 107.600000 0.733604 -1.939285 14.011023
 107.800000 1.285642 -1.595221 17.351189
 108.000000 0.406820 -0.627739 13.626926
 108.200000 1.024545 -0.144507 21.560541
 108.400000 0.944071 0.362661 14.677580
 108.600000 0.699586 0.812206 5.421470
 108.800000 1.080704 0.421901 13.074358
 109.000000 0.902976 0.507659 11.952445
 109.200000 0.740075 0.732790 7.559498
 109.400000 1.125806 0.361913 14.410782
 109.600000 0.778843 0.027075 18.575652
 109.800000 1.312891 -0.770345 23.826772
 110.000000 1.150493 -1.283733 23.612799
 110.200000 0.874117 -1.635929 18.669684
 110.400000 0.921441 -2.039333 14.580699
 110.600000 1.047436 -2.290011 12.259473
 110.800000 0.872747 -2.459372 9.978045
 111.000000 1.049478 -2.651270 7.062973
 111.200000 1.221419 3.032634 1.814166
 111.400000 1.088689 2.944554 1.557555
 111.600000 0.920961 -2.604448 8.656534
 111.800000 1.312024 -2.052037 12.462805
 112.000000 0.850526 -1.320672 22.906553
 112.200000 1.384192 -0.697368 22.262606
 112.400000 0.982928 0.294354 16.349557
 112.600000 0.849537 0.900454 4.620649
 112.800000 0.846360 0.743158 7.628091
 113.000000 0.950367 -0.076077 20.863282
 113.200000 0.765642 -0.888650 24.059053
 113.400000 1.190508 -1.548100 19.869601
 113.600000 0.921347 -1.578364 20.144864
 113.800000 1.162844 -1.663529 18.309016
 114.000000 1.200419 -1.321141 23.365391
 114.200000 1.130212 -0.634558 25.825417
 114.400000 0.651263 0.455134 12.375291
 114.600000 0.998620 0.771574 6.999630
 114.800000 1.095671 0.592390 10.368862
 115.000000 0.743689 0.164955 17.279895
 115.200000 1.049171 -0.647024 26.185508
 115.400000 1.058496 -1.537111 21.320246
 115.600000 0.913802 -1.877921 16.256497
 115.800000 1.249286 -2.035537 13.410863
 116.000000 0.866080 -1.813707 16.713441
 116.200000 1.121272 -1.564215 20.941054
 116.400000 1.459796 -0.886083 21.238007
 116.600000 0.882703 0.063471 20.076235
 116.800000 0.760514 0.760846 7.216243
 117.000000 0.531010 0.734175 6.458258
 117.200000 0.891278 0.603708 11.633125
 117.400000 0.648186 0.824636 6.382946
 117.600000 0.327587 1.055386 1.985279
 117.800000 1.097944 0.814995 6.452890
 118.000000 0.953468 0.143255 19.496145
 118.200000 0.947196 -0.809214 26.575817
 118.400000 1.110701 -1.676823 19.227249
 118.600000 0.538711 -1.867276 12.510979
 118.800000 1.068043 -1.646959 19.910694
 119.000000 0.569866 -0.893258 19.536219
 119.200000 0.954820 -0.234232 23.503616
 119.400000 1.022001 0.554298 12.584541
 119.600000 0.229714 1.278610 0.564809
 119.800000 -1.509433 1.647266 0.000000
 120.000000 -2.750998 1.417563 0.000000
 120.200000 -1.904492 2.242195 0.020748
 120.400000 -0.794665 2.716697 0.001450
 120.600000 -2.068907 2.097549 0.078839
 120.800000 -2.909878 1.968897 0.318624
 121.000000 -2.060953 -2.800019 0.000000
 121.200000 -2.731341 3.046733 0.255304
 121.400000 -2.198497 2.250210 0.038712
 121.600000 -1.270796 2.242718 0.000137
 121.800000 -1.555661 2.187365 0.009249
 122.000000 -2.895058 2.472976 0.015566
 122.200000 -2.377658 -2.781539 1.023997
 122.400000 -2.972320 2.445508 1.199316
 122.600000 -1.741655 1.979670 0.106196
 122.800000 -1.312026 1.757020 0.024164
 123.000000 -1.633978 1.002515 0.073689
 123.200000 -1.377758 0.519119 0.401303
 123.400000 -1.489798 0.505702 0.409697
 123.600000 -1.444227 1.092927 1.134400
 123.800000 -1.481313 1.677873 0.233099
 124.000000 -1.361915 1.526970 0.378083
 124.200000 -1.606875 1.175044 1.794109
 124.400000 -1.293986 0.704576 0.754065
