#! FIELDS time phi psi metad.bias
#! SET min_phi -pi
#! SET max_phi pi
#! SET min_psi -pi
#! SET max_psi pi
 111.400000 -1.339166 1.589783 15.412287
 111.600000 -1.375316 1.158728 18.400671
 111.800000 -1.380179 0.513204 14.912281
 112.000000 -0.841138 0.047511 7.146939
 112.200000 -1.579831 -0.172996 7.119289
 112.400000 -1.078599 -0.525742 3.033344
 112.600000 -1.260805 -0.046125 9.482943
 112.800000 -1.392433 0.696994 17.033488
 113.000000 -1.273646 1.295969 17.122848
 113.200000 -1.363287 1.728771 14.950169
 113.400000 -1.946949 2.177343 15.907879
 113.600000 -2.226417 2.809364 20.883255
 113.800000 -2.589864 -3.032700 14.885171
 114.000000 -2.465310 -2.653482 5.544142
 114.200000 -2.598585 -2.981914 14.157176
 114.400000 -2.793050 2.485556 16.118800
 114.600000 -2.278088 1.870058 10.978783
 114.800000 -0.829403 1.381712 11.107606
 115.000000 -1.796888 1.436712 14.764836
 115.200000 -1.823967 1.695092 13.920968
 115.400000 -1.598775 2.425040 15.436747
 115.600000 -1.244414 2.911060 7.927257
 115.800000 -1.494825 2.707152 13.067075
 116.000000 -1.467689 2.166913 14.676429
 116.200000 -1.254764 1.350076 17.604083
 116.400000 -1.666415 0.836551 17.631561
 116.600000 -1.658049 -0.043788 8.313243
 116.800000 -0.812106 -0.903851 0.476430
 117.000000 -1.371741 0.288749 12.957764
 117.200000 -1.262192 1.521310 16.455252
 117.400000 -1.417310 1.998165 15.049882
 117.600000 -1.296059 2.924424 8.317841
 117.800000 -1.815838 -3.100318 10.247203
 118.000000 -2.446718 2.964529 20.783210
 118.200000 -2.806022 2.599094 17.410835
 118.400000 -2.577667 2.196263 14.266872
 118.600000 -2.419436 1.870302 10.157662
 118.800000 -2.498458 1.629798 6.923121
 119.000000 -2.145614 2.049882 14.537665
 119.200000 -1.920745 2.573131 18.720890
 119.400000 -1.404452 2.979787 8.720367
 119.600000 -1.424509 2.787234 11.671754
 119.800000 -1.568393 2.440606 15.861276
 120.000000 -1.168791 1.905999 13.745588
 120.200000 -2.275830 1.498906 9.068121
 120.400000 -2.756307 1.355761 3.408492
 120.600000 -2.151024 1.270371 10.971415
 120.800000 -1.730485 1.413060 16.556596
 121.000000 -0.820303 1.816866 10.186261
 121.200000 -1.935033 2.639338 18.862825
 121.400000 -2.287972 -3.061874 15.600466
 121.600000 -2.911226 -2.741545 7.101717
 121.800000 -2.728537 -2.857694 10.815646
 122.000000 -2.631377 2.546672 19.403583
 122.200000 -2.475100 1.599728 7.227240
 122.400000 -1.833596 1.365610 15.642962
 122.600000 -1.871494 1.007449 15.919464
 122.800000 -1.157936 1.058668 17.421638
